code,hs2,imports,commodity,exports,total
NL,64,17124,Footwear,0,17124
NS,24,15875,Tobacco,0,15875
YT,25,15364,"Salt, sulphur, stone, cement",0,15364
NL,17,14842,Sugars,0,14842
NT,88,13639,Aircraft & spacecraft,0,13639
NL,36,13351,Explosives,0,13351
NS,01,13283,Live animals,0,13283
NL,24,13171,Tobacco,0,13171
SK,50,12667,Silk,0,12667
PE,82,11361,Tools & cutlery,0,11361
YT,98,10553,Special transactions (CA),0,10553
NL,54,8789,Man-made filaments,0,8789
PE,22,7447,Beverages & spirits,0,7447
YT,26,7186,"Ores, slag & ash",0,7186
PE,35,6499,Protein substances,0,6499
NL,71,4779,Precious metals & stones,0,4779
PE,06,4600,Live trees & plants,0,4600
NU,84,4204,Machinery & mechanical appliances,0,4204
NL,09,4063,"Coffee, tea & spices",0,4063
NL,22,4002,Beverages & spirits,0,4002
NL,57,3945,Carpets,0,3945
NL,67,3837,Feathers & artificial flowers,0,3837
NT,73,3833,Articles of iron & steel,0,3833
YT,64,3809,Footwear,0,3809
PE,27,3112,Mineral fuels & oils,0,3112
NL,33,3092,Cosmetics & perfumes,0,3092
NL,29,3003,Organic chemicals,0,3003
YT,95,2942,Toys & sports equipment,0,2942
NL,45,2746,Cork,0,2746
PE,96,2636,Miscellaneous manufactures,0,2636
NU,48,2622,Paper & paperboard,0,2622
NL,51,2578,Wool,0,2578
NL,58,2501,Special woven fabrics,0,2501
NL,91,2096,Clocks & watches,0,2096
NL,16,2088,Prepared meat & fish,0,2088
PE,88,1905,Aircraft & spacecraft,0,1905
NL,98,1854,Special transactions (CA),0,1854
NL,69,1781,Ceramic products,0,1781
YT,42,1633,Leather goods,0,1633
YT,69,1532,Ceramic products,0,1532
NT,82,1369,Tools & cutlery,0,1369
NL,97,1134,Works of art,0,1134
PE,59,1087,Coated textiles,0,1087
PE,74,929,Copper,0,929
PE,19,880,Prepared cereals,0,880
NL,60,844,Knitted fabrics,0,844
NU,89,800,Ships & boats,0,800
NL,43,786,Furskins,0,786
NL,66,747,Umbrellas,0,747
NU,49,546,Printed books & media,0,546
YT,44,510,Wood & wood articles,0,510
YT,96,486,Miscellaneous manufactures,0,486
NU,40,437,Rubber,0,437
YT,70,435,Glass,0,435
NL,55,425,Man-made staple fibres,0,425
NL,78,414,Lead,0,414
PE,94,407,Furniture,0,407
PE,69,303,Ceramic products,0,303
NB,50,296,Silk,0,296
NU,96,268,Miscellaneous manufactures,0,268
YT,61,214,Knitted apparel,0,214
NB,24,213,Tobacco,0,213
YT,68,166,Stone & cement articles,0,166
YT,55,163,Man-made staple fibres,0,163
NS,43,153,Furskins,0,153
NL,37,152,Photographic goods,0,152
PE,68,130,Stone & cement articles,0,130
PE,20,114,Prepared vegetables,0,114
PE,62,100,Woven apparel,0,100
YT,22,84,Beverages & spirits,0,84
YT,56,58,Wadding & felt,0,58
PE,25,54,"Salt, sulphur, stone, cement",0,54
NL,07,24,Vegetables,0,24
NL,31,3,Fertilizers,0,3
YT,57,1,Carpets,0,1
