partner,imports,exports,total
Luxembourg,1352390401,971536568,2323926969
Bahrain,688491332,1603302945,2291794277
Bahamas,86265213,1991802741,2078067954
Other (VE),198869697,1857163119,2056032816
Kuwait,923562702,1026044641,1949607343
Other (HN),1706396330,217546370,1923942700
El Salvador,935749262,956725500,1892474762
Jordan,1153106462,710045448,1863151910
Other (BG),712732916,1107807589,1820540505
Jamaica,721294858,1055446290,1776741148
Other (LV),219000969,1533549524,1752550493
Croatia,975126682,739133627,1714260309
Other (GR),1172247742,523218856,1695466598
"Bonaire, Sint Eustatius and Saba",84461,1656420748,1656505209
Other (LT),1282819405,360683534,1643502939
Uruguay,768063819,856260443,1624324262
Other (JM),1019593979,603229972,1622823951
Other (UA),512685014,1108773494,1621458508
Venezuela,155411336,1430358723,1585770059
Iceland,1007362238,572970940,1580333178
Zambia,1321837824,180907198,1502745022
Other (LU),822103010,615922923,1438025933
Other (BO),1251724290,174762487,1426486777
Other (GH),285029820,1134648969,1419678789
Myanmar,1234925506,184186062,1419111568
Oman,635595477,771617985,1407213462
Estonia,1162089206,238520511,1400609717
"Congo, Democratic Republic of the",1184318258,164767619,1349085877
Other (nan),1107638715,206063812,1313702527
Kenya,356706822,915623847,1272330669
Other (BS),160926704,1059946694,1220873398
Iraq,5415151,1175888840,1181303991
Lebanon,374340691,803600296,1177940987
Ethiopia,464706644,709809337,1174515981
Madagascar,1055931451,103320997,1159252448
Haiti,485829282,668211821,1154041103
Other (QA),252051035,857283841,1109334876
Other (SI),802494891,306613464,1109108355
Serbia,814678938,262534591,1077213529
Uzbekistan,940713599,119010061,1059723660
Other (NI),863571711,171884446,1035456157
Other (IS),475484604,510217891,985702495
Angola,96692834,859232892,955925726
Other (KW),83166170,852766094,935932264
Other (UY),434040123,480774624,914814747
"Tanzania, United Republic of",238625180,668681838,907307018
Other (OM),223832526,679405793,903238319
Other (TN),475403697,426447458,901851155
Guinea,495622396,392950783,888573179
Senegal,49754211,793396295,843150506
Other (JO),441538661,393673143,835211804
Other (IR),305684444,525813039,831497483
Azerbaijan,758259478,64762730,823022208
Other (EE),680392318,126164355,806556673
Other (KE),159072039,639966912,799038951
Mozambique,275977662,503576349,779554011
Libya,89982795,667855368,757838163
Other (LB),145786823,592997518,738784341
Other (SV),449860951,281174812,731035763
Cameroon,136176685,586930552,723107237
Other (PA),47979777,664339906,712319683
Other (BH),167115339,536719969,703835308
Georgia,193820875,509716289,703537164
Bermuda,7968777,678834221,686802998
Nepal,108167522,546665741,654833263
Albania,140978506,502700217,643678723
Togo,233246859,408073407,641320266
Uganda,202955190,429307548,632262738
Other (HR),328763282,303009007,631772289
Other (ET),155354414,470426320,625780734
Other (MG),482388633,82414616,564803249
Other (SD),103307518,458019715,561327233
Other (AM),484211049,53614531,537825580
Other (MM),376684362,158601627,535285989
Other (HT),224980542,306276512,531257054
Burkina Faso,167197880,332482106,499679986
Barbados,136102428,361521262,497623690
Other (SR),303145082,192336990,495482072
Other (TZ),102110727,382509444,484620171
Paraguay,301102050,180779760,481881810
Suriname,251854052,206440155,458294207
Other (RS),362180463,88377928,450558391
Other (BB),62724406,384256565,446980971
Other (CM),147088335,299231072,446319407
United States Minor Outlying Islands,61254823,364098828,425353651
Other (GE),288078769,119586403,407665172
Macao,73683660,333157582,406841242
Cayman Islands,46199582,336488736,382688318
Other (CD),274902594,97047314,371949908
Other (BF),142168624,217102304,359270928
Other (BY),295235168,57591597,352826765
Benin,25681626,318504755,344186381
New Caledonia,88871521,254440956,343312477
Other (GN),265905471,76512761,342418232
Laos,260091334,70618122,330709456
Papua New Guinea,49540590,278630008,328170598
Liberia,194559175,123707276,318266451
Niger,257220383,56334649,313555032
Cyprus,66695708,244979773,311675481
Other (LY),118528991,187914066,306443057
Saint Pierre and Miquelon,43991413,251534937,295526350
Armenia,172061980,121133900,293195880
Sudan,2739622,286005306,288744928
Other (MZ),16462836,268803407,285266243
Other (BM),9917709,252564655,262482364
Turkmenistan,106476887,155759234,262236121
Mali,38429327,221744012,260173339
Bosnia and Herzegovina,210411290,41961959,252373249
Equatorial Guinea,203818355,42680890,246499245
Other (SN),24584840,221504287,246089127
Other (NC),5030698,238341020,243371718
"Macedonia, North",79997177,159696367,239693544
Other (CG),104417274,133462309,237879583
Other (NP),68422273,164135331,232557604
Other (LR),182865943,48244672,231110615
Other (MO),32855957,194914944,227770901
Maldives,8527629,215085264,223612893
Other (AL),49312460,164294698,213607158
Mongolia,17020202,192786839,209807041
